#SampleID	study	mouse_sex	diet	vendor	experiment	experiment_day	mouse_id	experiment_set	day_post_inf	sample_type	high_fat	high_fiber	purified_diet	seq_depth
CDD03.Tc.LFLF.4.18	3	Female	LF/LF	taconic	CDD03	18	CDD03.Tc.LFLF.4	new_exp_anschutz	3	colon	0	0	1	53964
CDD03.Tc.HFLF.1.18	3	Female	HF/LF	taconic	CDD03	18	CDD03.Tc.HFLF.1	new_exp_anschutz	3	colon	1	0	1	51635
CDD03.CR.LFLF.1.18	3	Female	LF/LF	charles_river	CDD03	18	CDD03.CR.LFLF.1	new_exp_anschutz	3	colon	0	0	1	76529
CDD03.Tc.Chow.2.00	3	Female	Chow	taconic	CDD03	0	CDD03.Tc.Chow.2	new_exp_anschutz	-15	colon	0	0	0	53618
CDD03.CR.HFHF.3.18	3	Female	HF/HF	charles_river	CDD03	18	CDD03.CR.HFHF.3	new_exp_anschutz	3	colon	1	1	1	57115
CDD03.CR.LFHF.2.18	3	Female	LF/HF	charles_river	CDD03	18	CDD03.CR.LFHF.2	new_exp_anschutz	3	colon	0	1	1	35800
CDD03.CR.HFHF.1.18	3	Female	HF/HF	charles_river	CDD03	18	CDD03.CR.HFHF.1	new_exp_anschutz	3	colon	1	1	1	38162
CDD03.Tc.Chow.2.18	3	Female	Chow	taconic	CDD03	18	CDD03.Tc.Chow.2	new_exp_anschutz	3	colon	0	0	0	52721
CDD03.Tc.HFHF.3.18	3	Female	HF/HF	taconic	CDD03	18	CDD03.Tc.HFHF.3	new_exp_anschutz	3	colon	1	1	1	45973
CDD03.CR.HFLF.4.18	3	Female	HF/LF	charles_river	CDD03	18	CDD03.CR.HFLF.4	new_exp_anschutz	3	colon	1	0	1	54934
CDD03.CR.Chow.1.18	3	Female	Chow	charles_river	CDD03	18	CDD03.CR.Chow.1	new_exp_anschutz	3	colon	0	0	0	36498
CDD03.Tc.LFLF.5.18	3	Female	LF/LF	taconic	CDD03	18	CDD03.Tc.LFLF.5	new_exp_anschutz	3	colon	0	0	1	68865
CDD03.Tc.HFLF.4.18	3	Female	HF/LF	taconic	CDD03	18	CDD03.Tc.HFLF.4	new_exp_anschutz	3	colon	1	0	1	71503
CDD03.Tc.HFHF.4.18	3	Female	HF/HF	taconic	CDD03	18	CDD03.Tc.HFHF.4	new_exp_anschutz	3	colon	1	1	1	68645
CDD03.CR.Chow.3.18	3	Female	Chow	charles_river	CDD03	18	CDD03.CR.Chow.3	new_exp_anschutz	3	colon	0	0	0	43164
CDD03.CR.LFHF.1.18	3	Female	LF/HF	charles_river	CDD03	18	CDD03.CR.LFHF.1	new_exp_anschutz	3	colon	0	1	1	84767
CDD03.CR.LFHF.3.18	3	Female	LF/HF	charles_river	CDD03	18	CDD03.CR.LFHF.3	new_exp_anschutz	3	colon	0	1	1	65851
CDD03.CR.HFHF.2.18	3	Female	HF/HF	charles_river	CDD03	18	CDD03.CR.HFHF.2	new_exp_anschutz	3	colon	1	1	1	60381
CDD03.CR.Chow.4.18	3	Female	Chow	charles_river	CDD03	18	CDD03.CR.Chow.4	new_exp_anschutz	3	colon	0	0	0	14576
CDD03.CR.HFHF.4.18	3	Female	HF/HF	charles_river	CDD03	18	CDD03.CR.HFHF.4	new_exp_anschutz	3	colon	1	1	1	60787
CDD03.Tc.HFHF.2.18	3	Female	HF/HF	taconic	CDD03	18	CDD03.Tc.HFHF.2	new_exp_anschutz	3	colon	1	1	1	64615
CDD03.CR.HFLF.2.18	3	Female	HF/LF	charles_river	CDD03	18	CDD03.CR.HFLF.2	new_exp_anschutz	3	colon	1	0	1	49672
