diet	tube_numb	tube_label	date	mouse_id	facility	study	bile_acid	concentration	c_diff_effect	conc_normalized
HF/LF	1	WD.1	81923	113	barrier_1	7	Taurocholic_acid_T-CA	44577.89629	promoter	44579.89629
HF/LF	2	WD.2	60322	9849	barrier_1	3	Taurocholic_acid_T-CA	4584.775134	promoter	4586.775134
HF/LF	2	WD.2	70122	9949	barrier_2	5	Taurocholic_acid_T-CA	8784.949693	promoter	8786.949693
HF/LF	2	WD.2	71523	9972	barrier_2	6	Taurocholic_acid_T-CA	2056.327422	promoter	2058.327422
HF/LF	3	WD.3	60322	9846	barrier_1	3	Taurocholic_acid_T-CA	4615.742362	promoter	4617.742362
HF/LF	3	WD.3	70122	9950	barrier_2	5	Taurocholic_acid_T-CA	569.3032163	promoter	571.3032163
HF/LF	3	WD.3	71523	9971	barrier_2	6	Taurocholic_acid_T-CA	3464.162136	promoter	3466.162136
HF/LF	4	WD.4	60322	9848	barrier_1	3	Taurocholic_acid_T-CA	542.0516488	promoter	544.0516488
HF/LF	4	WD.4	70122	9952	barrier_2	5	Taurocholic_acid_T-CA	575.2170693	promoter	577.2170693
HF/LF	4	WD.4	71523	9975	barrier_2	6	Taurocholic_acid_T-CA	1290.829449	promoter	1292.829449
HF/LF	5	WD.5	60322	9851	barrier_1	3	Taurocholic_acid_T-CA	2400.407196	promoter	2402.407196
HF/LF	5	WD.5	71523	9973	barrier_2	6	Taurocholic_acid_T-CA	538.8084503	promoter	540.8084503
LF/HF	1	Ctrl+F.1	60322	9833	barrier_1	3	Taurocholic_acid_T-CA	1108.41893	promoter	1110.41893
LF/HF	1	Ctrl+F.1	81923	99	barrier_1	7	Taurocholic_acid_T-CA	3171.607287	promoter	3173.607287
LF/HF	2	Ctrl+F.2	60322	9834	barrier_1	3	Taurocholic_acid_T-CA	21064.96582	promoter	21066.96582
LF/HF	3	Ctrl+F.3	60322	9832	barrier_1	3	Taurocholic_acid_T-CA	128.0386221	promoter	130.0386221
LF/HF	4	Ctrl+F.4	60322	9831	barrier_1	3	Taurocholic_acid_T-CA	not_enough_sample	promoter	not_enough_sample
LF/HF	5	Ctrl+F.5	60322	9835	barrier_1	3	Taurocholic_acid_T-CA	1448.663494	promoter	1450.663494
LF/LF	1	Ctrl+F.1	50622	9747	barrier_2	2	Taurocholic_acid_T-CA	15.75170767	promoter	17.75170767
LF/LF	1	Ctrl.1	60322	9841	barrier_1	3	Taurocholic_acid_T-CA	5.132157217	promoter	7.132157217
LF/LF	1	Ctrl.1	70122	9946	barrier_2	5	Taurocholic_acid_T-CA	56.47903967	promoter	58.47903967
LF/LF	1	Ctrl.1	71523	9966	barrier_2	6	Taurocholic_acid_T-CA	2782.508494	promoter	2784.508494
LF/LF	1	Ctrl.1	81923	109	barrier_1	7	Taurocholic_acid_T-CA	3651.887989	promoter	3653.887989
LF/LF	2	Ctrl+F.2	50622	9746	barrier_2	2	Taurocholic_acid_T-CA	not_enough_sample	promoter	not_enough_sample
LF/LF	2	Ctrl.2	60322	9842	barrier_1	3	Taurocholic_acid_T-CA	1950.194143	promoter	1952.194143
LF/LF	2	Ctrl.2	70122	9948	barrier_2	5	Taurocholic_acid_T-CA	105.3722362	promoter	107.3722362
LF/LF	2	Ctrl.2	71523	9969	barrier_2	6	Taurocholic_acid_T-CA	195.1902914	promoter	197.1902914
LF/LF	2	Ctrl.2	81923	106	barrier_1	7	Taurocholic_acid_T-CA	15676.75247	promoter	15678.75247
LF/LF	3	Ctrl.3	70122	9947	barrier_2	5	Taurocholic_acid_T-CA	26.7957398	promoter	28.7957398
LF/LF	3	Ctrl.3	71523	9968	barrier_2	6	Taurocholic_acid_T-CA	17674.10023	promoter	17676.10023
LF/LF	3	Ctrl.3	81923	108	barrier_1	7	Taurocholic_acid_T-CA	12824.89553	promoter	12826.89553
LF/LF	4	Ctrl.4	70122	9945	barrier_2	5	Taurocholic_acid_T-CA	2935.76292	promoter	2937.76292
LF/LF	4	Ctrl.4	71523	9970	barrier_2	6	Taurocholic_acid_T-CA	454.0519506	promoter	456.0519506
Chow	1	Chow.1	50622	9740	barrier_2	2	Cholic_acid_CA	175.5290596	promoter	177.5290596
Chow	1	Chow.1	70122	9939	barrier_2	5	Cholic_acid_CA	not_enough_sample	promoter	not_enough_sample
Chow	1	Chow.1	71523	9964	barrier_2	6	Cholic_acid_CA	192.6632305	promoter	194.6632305
Chow	1	Chow.1	81923	117	barrier_1	7	Cholic_acid_CA	70.2969998	promoter	72.2969998
Chow	2	Chow.2	50622	9741	barrier_2	2	Cholic_acid_CA	58.11932092	promoter	60.11932092
Chow	2	Chow.2	70122	9943	barrier_2	5	Cholic_acid_CA	15.02177527	promoter	17.02177527
Chow	2	Chow.2	71523	9965	barrier_2	6	Cholic_acid_CA	177.8329994	promoter	179.8329994
Chow	2	Chow.2	81923	116	barrier_1	7	Cholic_acid_CA	223.2411368	promoter	225.2411368
Chow	3	Chow.3	50622	9743	barrier_2	2	Cholic_acid_CA	62.08373173	promoter	64.08373173
Chow	3	Chow.3	70122	9941	barrier_2	5	Cholic_acid_CA	20.78011202	promoter	22.78011202
Chow	3	Chow.3	71523	9962	barrier_2	6	Cholic_acid_CA	0	promoter	2
Chow	3	Chow.3	81923	115	barrier_1	7	Cholic_acid_CA	not_enough_sample	promoter	not_enough_sample
Chow	4	Chow.4	50622	9742	barrier_2	2	Cholic_acid_CA	30.9235576	promoter	32.9235576
Chow	4	Chow.4	71523	9963	barrier_2	6	Cholic_acid_CA	0	promoter	2
Chow	4	Chow.4	81923	114	barrier_1	7	Cholic_acid_CA	3.600922503	promoter	5.600922503
HF/HF	1	WD+F.1	60322	9838	barrier_1	3	Cholic_acid_CA	0	promoter	2
HF/HF	1	WD+F.1	81923	104	barrier_1	7	Cholic_acid_CA	7.774357321	promoter	9.774357321
HF/HF	2	WD+F.2	60322	9837	barrier_1	3	Cholic_acid_CA	265.5880141	promoter	267.5880141
HF/HF	2	WD+F.2	81923	103	barrier_1	7	Cholic_acid_CA	88.872626	promoter	90.872626
HF/HF	3	WD+F.3	60322	9839	barrier_1	3	Cholic_acid_CA	0	promoter	2
HF/HF	3	WD+F.3	81923	102	barrier_1	7	Cholic_acid_CA	not_enough_sample	promoter	not_enough_sample
HF/HF	4	WD+F.4	60322	9836	barrier_1	3	Cholic_acid_CA	504.3748932	promoter	506.3748932
HF/LF	1	WD+F.1	50622	9758	barrier_2	2	Cholic_acid_CA	0	promoter	2
HF/LF	1	WD.1	60322	9847	barrier_1	3	Cholic_acid_CA	0	promoter	2
HF/LF	1	WD.1	70122	9953	barrier_2	5	Cholic_acid_CA	102.8017698	promoter	104.8017698
HF/LF	1	WD.1	71523	9974	barrier_2	6	Cholic_acid_CA	8.442020187	promoter	10.442020187
HF/LF	1	WD.1	81923	113	barrier_1	7	Cholic_acid_CA	37.11547458	promoter	39.11547458
HF/LF	2	WD.2	60322	9849	barrier_1	3	Cholic_acid_CA	9.596008588	promoter	11.596008588
HF/LF	2	WD.2	70122	9949	barrier_2	5	Cholic_acid_CA	294.8196977	promoter	296.8196977
HF/LF	2	WD.2	71523	9972	barrier_2	6	Cholic_acid_CA	24.16124053	promoter	26.16124053
HF/LF	3	WD.3	60322	9846	barrier_1	3	Cholic_acid_CA	60.51816116	promoter	62.51816116
HF/LF	3	WD.3	70122	9950	barrier_2	5	Cholic_acid_CA	7.874898997	promoter	9.874898997
HF/LF	3	WD.3	71523	9971	barrier_2	6	Cholic_acid_CA	223.5564533	promoter	225.5564533
HF/LF	4	WD.4	60322	9848	barrier_1	3	Cholic_acid_CA	0	promoter	2
HF/LF	4	WD.4	70122	9952	barrier_2	5	Cholic_acid_CA	19.29473398	promoter	21.29473398
HF/LF	4	WD.4	71523	9975	barrier_2	6	Cholic_acid_CA	3.705453866	promoter	5.705453866
HF/LF	5	WD.5	60322	9851	barrier_1	3	Cholic_acid_CA	3.265653862	promoter	5.265653862
HF/LF	5	WD.5	71523	9973	barrier_2	6	Cholic_acid_CA	6.007588498	promoter	8.007588498
LF/HF	1	Ctrl+F.1	60322	9833	barrier_1	3	Cholic_acid_CA	168.0912632	promoter	170.0912632
LF/HF	1	Ctrl+F.1	81923	99	barrier_1	7	Cholic_acid_CA	182.0550233	promoter	184.0550233
LF/HF	2	Ctrl+F.2	60322	9834	barrier_1	3	Cholic_acid_CA	173.84058	promoter	175.84058
LF/HF	3	Ctrl+F.3	60322	9832	barrier_1	3	Cholic_acid_CA	6.192322075	promoter	8.192322075
LF/HF	4	Ctrl+F.4	60322	9831	barrier_1	3	Cholic_acid_CA	not_enough_sample	promoter	not_enough_sample
LF/HF	5	Ctrl+F.5	60322	9835	barrier_1	3	Cholic_acid_CA	395.2537233	promoter	397.2537233
LF/LF	1	Ctrl+F.1	50622	9747	barrier_2	2	Cholic_acid_CA	0	promoter	2
LF/LF	1	Ctrl.1	60322	9841	barrier_1	3	Cholic_acid_CA	0	promoter	2
LF/LF	1	Ctrl.1	70122	9946	barrier_2	5	Cholic_acid_CA	0	promoter	2
LF/LF	1	Ctrl.1	71523	9966	barrier_2	6	Cholic_acid_CA	120.3023174	promoter	122.3023174
LF/LF	1	Ctrl.1	81923	109	barrier_1	7	Cholic_acid_CA	21.99226786	promoter	23.99226786
LF/LF	2	Ctrl+F.2	50622	9746	barrier_2	2	Cholic_acid_CA	not_enough_sample	promoter	not_enough_sample
LF/LF	2	Ctrl.2	60322	9842	barrier_1	3	Cholic_acid_CA	49.54096002	promoter	51.54096002
LF/LF	2	Ctrl.2	70122	9948	barrier_2	5	Cholic_acid_CA	7.25865845	promoter	9.25865845
LF/LF	2	Ctrl.2	71523	9969	barrier_2	6	Cholic_acid_CA	0	promoter	2
LF/LF	2	Ctrl.2	81923	106	barrier_1	7	Cholic_acid_CA	10.75387819	promoter	12.75387819
LF/LF	3	Ctrl.3	70122	9947	barrier_2	5	Cholic_acid_CA	0	promoter	2
LF/LF	3	Ctrl.3	71523	9968	barrier_2	6	Cholic_acid_CA	522.4798936	promoter	524.4798936
LF/LF	3	Ctrl.3	81923	108	barrier_1	7	Cholic_acid_CA	59.09506239	promoter	61.09506239
LF/LF	4	Ctrl.4	70122	9945	barrier_2	5	Cholic_acid_CA	29.57254914	promoter	31.57254914
LF/LF	4	Ctrl.4	71523	9970	barrier_2	6	Cholic_acid_CA	0	promoter	2
